TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM,C1_NM_ENG,LST_CHN_DE
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,5.9,A,13102136288ACC_ITEM.40104,건설업,Construction,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,63,A,13102136288ACC_ITEM.40105,서비스업,Services,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,67.5,A,13102136288ACC_ITEM.60101,최종소비지출(지출구조-명목),Final consumption expenditure,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,49.9,A,13102136288ACC_ITEM.6010101,민간,Private,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,17.6,A,13102136288ACC_ITEM.6010102,정부,Government,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,32.1,A,13102136288ACC_ITEM.60102,총고정자본형성,Gross fixed capital formation,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,41.5,A,13102136288ACC_ITEM.60103,재화와서비스의수출,Exports of goods and services,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,41.2,A,13102136288ACC_ITEM.60104,(공제)재화와서비스의수입,Imports of goods and services,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,47.1,A,13102136288ACC_ITEM.7010101,피용자보수,Compensation of employees,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,22.5,A,13102136288ACC_ITEM.7010102,기업 및 재산소득,Property and entrepreneurial income,2024-07-30
