TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM,C1_NM_ENG,LST_CHN_DE
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,8,Q,13102136269ACC_ITEM.10225,재화수출,Exports of goods,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,8.7,Q,13102136269ACC_ITEM.10225,재화수출,Exports of goods,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,-3.8,Q,13102136269ACC_ITEM.10226,재화수입,Imports of goods,2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,1.3,Q,13102136269ACC_ITEM.10226,재화수입,Imports of goods,2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,0.7,Q,13102136269ACC_ITEM.10227,내수(재고제외),Domestic demand (except inventories),2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,0.6,Q,13102136269ACC_ITEM.10227,내수(재고제외),Domestic demand (except inventories),2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,3.4,Q,13102136269ACC_ITEM.20111,명목 GNI(전기비),Nominal GNI (percent change from preceding quarter),2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,0,Q,13102136269ACC_ITEM.20111,명목 GNI(전기비),Nominal GNI (percent change from preceding quarter),2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,2.4,Q,13102136269ACC_ITEM.20112,실질 GNI(전기비),Real GNI (percent change from preceding quarter),2024-07-30
주요지표(분기지표),202402,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,0,Q,13102136269ACC_ITEM.20112,실질 GNI(전기비),Real GNI (percent change from preceding quarter),2024-07-30
주요지표(분기지표),202401,DT_200Y102,주요지표(분기지표),Main Quarterly Indicators  (reference year 2020),13103136269999,%,301,%,계정항목별,ACCOUNT,5.8,Q,13102136269ACC_ITEM.20121,명목 GNI(전년동기비),Nominal GNI (percent change over previous year),2024-07-30
